uid,catalog,number,species,scientificName,age,heightM,girthCm,canopyM,address,grade,lat,lng,coordinateQuality,sourcePage,sourceDocument
张家港市-张01,张家港市,张01,银杏,Ginkgo biloba L.,195,17,250,11.5,塘桥镇何桥村楼小庙桥,三级,31.897957,120.611014,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/89d6aa2394994bb4b4579dedf4858c90.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/89d6aa2394994bb4b4579dedf4858c90/files/97315108081f4d83bb479308a7c3b831.docx
张家港市-张02,张家港市,张02,银杏,Ginkgo biloba L.,165,15,190,10.5,塘桥镇何桥村沈巷,三级,31.907618,120.472895,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/89d6aa2394994bb4b4579dedf4858c90.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/89d6aa2394994bb4b4579dedf4858c90/files/97315108081f4d83bb479308a7c3b831.docx
张家港市-张03,张家港市,张03,银杏,Ginkgo biloba L.,165,18,230,11.25,塘桥镇何桥村沈巷,三级,31.798795,120.65161,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/89d6aa2394994bb4b4579dedf4858c90.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/89d6aa2394994bb4b4579dedf4858c90/files/97315108081f4d83bb479308a7c3b831.docx
张家港市-张04,张家港市,张04,银杏,Ginkgo biloba L.,165,17,182,9.5,塘桥镇何桥村沈巷,三级,31.908876,120.673477,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/89d6aa2394994bb4b4579dedf4858c90.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/89d6aa2394994bb4b4579dedf4858c90/files/97315108081f4d83bb479308a7c3b831.docx
张家港市-张05,张家港市,张05,银杏,Ginkgo biloba L.,165,7.5,210,6.2,塘桥镇周巷村李王村镇中路,三级,31.786837,120.604977,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/89d6aa2394994bb4b4579dedf4858c90.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/89d6aa2394994bb4b4579dedf4858c90/files/97315108081f4d83bb479308a7c3b831.docx
张家港市-张06,张家港市,张06,银杏,Ginkgo biloba L.,165,10.5,200,9,塘桥镇周巷村李王村镇中路,三级,31.820683,120.463345,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/89d6aa2394994bb4b4579dedf4858c90.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/89d6aa2394994bb4b4579dedf4858c90/files/97315108081f4d83bb479308a7c3b831.docx
张家港市-张07,张家港市,张07,银杏,Ginkgo biloba L.,315,15.5,283,12.05,塘桥镇韩山村黄家桥,二级,31.851201,120.567632,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/89d6aa2394994bb4b4579dedf4858c90.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/89d6aa2394994bb4b4579dedf4858c90/files/97315108081f4d83bb479308a7c3b831.docx
张家港市-张08,张家港市,张08,银杏,Ginkgo biloba L.,210,12.5,235,6.7,塘桥镇韩山村黄家桥,三级,31.855953,120.685133,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/89d6aa2394994bb4b4579dedf4858c90.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/89d6aa2394994bb4b4579dedf4858c90/files/97315108081f4d83bb479308a7c3b831.docx
张家港市-张09,张家港市,张09,银杏,Ginkgo biloba L.,120,14,215,10.15,塘桥镇青龙村上相村,三级,31.871196,120.562143,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/89d6aa2394994bb4b4579dedf4858c90.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/89d6aa2394994bb4b4579dedf4858c90/files/97315108081f4d83bb479308a7c3b831.docx
张家港市-张11,张家港市,张11,红豆树,Ormosia hosiei Hemsl. & E. H. Wilson,215,11,180,14.6,凤凰镇支山村红豆园,三级,31.852882,120.469634,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/89d6aa2394994bb4b4579dedf4858c90.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/89d6aa2394994bb4b4579dedf4858c90/files/97315108081f4d83bb479308a7c3b831.docx
张家港市-张12,张家港市,张12,银杏,Ginkgo biloba L.,150,13,206,10.7,凤凰镇支山村静修堂,三级,31.869062,120.56806,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/89d6aa2394994bb4b4579dedf4858c90.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/89d6aa2394994bb4b4579dedf4858c90/files/97315108081f4d83bb479308a7c3b831.docx
张家港市-张15,张家港市,张15,银杏,Ginkgo biloba L.,220,18.5,300,13,凤凰镇港口社区西塘街北侧,三级,31.816904,120.634448,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/89d6aa2394994bb4b4579dedf4858c90.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/89d6aa2394994bb4b4579dedf4858c90/files/97315108081f4d83bb479308a7c3b831.docx
张家港市-张16,张家港市,张16,银杏,Ginkgo biloba L.,135,15.5,190,11.25,凤凰镇程墩村安康路西侧,三级,31.88357,120.685818,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/89d6aa2394994bb4b4579dedf4858c90.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/89d6aa2394994bb4b4579dedf4858c90/files/97315108081f4d83bb479308a7c3b831.docx
张家港市-张17,张家港市,张17,银杏,Ginkgo biloba L.,235,18,330,11.9,凤凰镇清水村高升堂,三级,31.927489,120.580931,地区级示意,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/89d6aa2394994bb4b4579dedf4858c90.shtml,https://ylj.suzhou.gov.cn/szsylj/zygk/202502/89d6aa2394994bb4b4579dedf4858c90/files/97315108081f4d83bb479308a7c3b831.docx
